% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:09 -0500
% Time (s), Channel A (V), Channel B (V)
-2.7766419200e+00, 1.3224233794e-02, -1.4447541470e-03
-2.7762917760e+00, 1.3085830267e-02, -1.1283793301e-03
-2.7759416320e+00, 1.3773383273e-02, -2.1695309589e-03
-2.7755914880e+00, 1.3115408440e-02, -2.4960070003e-03
-2.7752413440e+00, 1.3309898880e-02, -1.9228601720e-03
-2.7748912000e+00, 1.2350561529e-02, -3.0377339975e-03
-2.7745410560e+00, 1.3152799715e-02, -2.9761221087e-03
-2.7741909120e+00, 1.3607354848e-02, -2.4778694424e-03
-2.7738407680e+00, 1.3706692864e-02, -2.6939575163e-03
-2.7734906240e+00, 1.3653117305e-02, -1.9720827137e-03
-2.7731404800e+00, 1.4032889887e-02, -3.4381554671e-03
-2.7727903360e+00, 1.3945829603e-02, -2.2087080839e-03
-2.7724401920e+00, 1.3954758863e-02, -2.5253619401e-03
-2.7720900480e+00, 1.3892254044e-02, -2.6082924354e-03
-2.7717399040e+00, 1.5173323789e-02, -3.1487358516e-03
-2.7713897600e+00, 1.5130072687e-02, -2.1558580307e-03
-2.7710396160e+00, 1.5874270685e-02, -2.4631361647e-03
-2.7706894720e+00, 1.5317866183e-02, -1.4655704826e-03
-2.7703393280e+00, 1.5567606418e-02, -7.3978912903e-04
-2.7699891840e+00, 1.5377301568e-02, -5.4044341623e-04
-2.7696390400e+00, 1.4667983491e-02, -1.4659611377e-03
-2.7692888960e+00, 1.4329787776e-02, -1.4554134502e-03
-2.7689387520e+00, 1.4714024987e-02, -8.9973448538e-04
-2.7685886080e+00, 1.6213303519e-02, -2.4017475073e-03
-2.7682384640e+00, 1.5565095064e-02, -2.8146699398e-03
-2.7678883200e+00, 1.5424738261e-02, -2.5443924239e-03
-2.7675381760e+00, 1.5409391096e-02, -2.3224445236e-03
-2.7671880320e+00, 1.5743401221e-02, -2.7114253797e-03
-2.7668378880e+00, 1.5236665726e-02, -2.6440094724e-03
-2.7664877440e+00, 1.5082077915e-02, -1.8958491628e-03
-2.7661376000e+00, 1.4696445507e-02, -9.1926723999e-04
-2.7657874560e+00, 1.5505659678e-02, -6.8666003648e-04
-2.7654373120e+00, 1.4962090987e-02, -9.3623283257e-04
-2.7650871680e+00, 1.4059677666e-02, -1.5257871747e-03
-2.7647370240e+00, 1.4251098673e-02, -7.2310257580e-04
-2.7643868800e+00, 1.3151404519e-02, -1.1729140106e-03
-2.7640367360e+00, 1.2621229717e-02, -1.5862270982e-03
-2.7636865920e+00, 1.3242092314e-02, -1.9320126628e-03
-2.7633364480e+00, 1.3372961778e-02, -3.1047592498e-03
-2.7629863040e+00, 1.4678586987e-02, -2.5777097224e-03
-2.7626361600e+00, 1.3957828296e-02, -3.1518052845e-03
-2.7622860160e+00, 1.4669936767e-02, -2.1631688617e-03
-2.7619358720e+00, 1.4303837114e-02, -2.7569087941e-03
