% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 33.00 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 300.000 000 Hz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:53:26 -0400
% Time (s), Channel A (V)
-2.0820800000e-02, 1.3336590766e+00
-2.0818096000e-02, 1.3287738785e+00
-2.0815392000e-02, 1.3287738785e+00
-2.0812688000e-02, 1.3238886804e+00
-2.0809984000e-02, 1.3214460814e+00
-2.0807280000e-02, 1.3214460814e+00
-2.0804576000e-02, 1.3141182843e+00
-2.0801872000e-02, 1.3141182843e+00
-2.0799168000e-02, 1.3141182843e+00
-2.0796464000e-02, 1.3067904871e+00
-2.0793760000e-02, 1.3043478881e+00
-2.0791056000e-02, 1.3019052891e+00
-2.0788352000e-02, 1.2970200910e+00
-2.0785648000e-02, 1.2896922939e+00
-2.0782944000e-02, 1.2896922939e+00
-2.0780240000e-02, 1.2848070958e+00
-2.0777536000e-02, 1.2823644967e+00
-2.0774832000e-02, 1.2774792986e+00
-2.0772128000e-02, 1.2725941006e+00
-2.0769424000e-02, 1.2677089025e+00
-2.0766720000e-02, 1.2628237044e+00
-2.0764016000e-02, 1.2579385063e+00
-2.0761312000e-02, 1.2530533082e+00
-2.0758608000e-02, 1.2481681101e+00
-2.0755904000e-02, 1.2408403130e+00
-2.0753200000e-02, 1.2335125159e+00
-2.0750496000e-02, 1.2310699169e+00
-2.0747792000e-02, 1.2261847188e+00
-2.0745088000e-02, 1.2188569217e+00
-2.0742384000e-02, 1.2164143226e+00
-2.0739680000e-02, 1.2090865255e+00
-2.0736976000e-02, 1.2042013274e+00
-2.0734272000e-02, 1.1968735303e+00
-2.0731568000e-02, 1.1895457332e+00
-2.0728864000e-02, 1.1822179360e+00
-2.0726160000e-02, 1.1773327379e+00
-2.0723456000e-02, 1.1675623418e+00
-2.0720752000e-02, 1.1651197427e+00
-2.0718048000e-02, 1.1553493466e+00
-2.0715344000e-02, 1.1455789504e+00
-2.0712640000e-02, 1.1382511533e+00
-2.0709936000e-02, 1.1333659552e+00
-2.0707232000e-02, 1.1235955590e+00
-2.0704528000e-02, 1.1162677619e+00
-2.0701824000e-02, 1.1040547667e+00
-2.0699120000e-02, 1.0991695686e+00
-2.0696416000e-02, 1.0918417715e+00
-2.0693712000e-02, 1.0845139744e+00
-2.0691008000e-02, 1.0723009792e+00
-2.0688304000e-02, 1.0698583801e+00
-2.0685600000e-02, 1.0576453849e+00
-2.0682896000e-02, 1.0478749888e+00
-2.0680192000e-02, 1.0429897907e+00
-2.0677488000e-02, 1.0307767955e+00
-2.0674784000e-02, 1.0234489983e+00
-2.0672080000e-02, 1.0087934041e+00
-2.0669376000e-02, 1.0039082060e+00
-2.0666672000e-02, 9.9169521080e-01
-2.0663968000e-02, 9.8436741368e-01
-2.0661264000e-02, 9.7215441847e-01
-2.0658560000e-02, 9.6482662135e-01
-2.0655856000e-02, 9.5994142327e-01
-2.0653152000e-02, 9.4772842806e-01
-2.0650448000e-02, 9.4040063093e-01
-2.0647744000e-02, 9.2574503669e-01
